scenario,scenario_type,seed,total_arrivals,served_customers,served_within_horizon,abandoned_customers,avg_wait_time,avg_wait_served,avg_wait_abandoned,avg_system_time,avg_queue_length,max_queue_length,utilization_percent,throughput_per_hour,abandonment_percent,num_kiosks,mean_interarrival_time,mean_service_time,patience_time,duration,reactive_threshold,iteration
Beban Sangat Rendah,base,80090,48,48,48,0,0.0,0.0,0.0,3.159979528172031,0.0,0,7.899948820430079,6.0,0.0,4,10.0,3.0,20.0,480,4,91
Beban Sangat Rendah,base,80091,46,46,46,0,0.0,0.0,0.0,3.0099719429774026,0.0,0,7.211391113383357,5.75,0.0,4,10.0,3.0,20.0,480,4,92
Beban Sangat Rendah,base,80092,64,64,64,0,0.0,0.0,0.0,2.9283882701376016,0.0,0,9.761294233792007,8.0,0.0,4,10.0,3.0,20.0,480,4,93
Beban Sangat Rendah,base,80093,43,43,43,0,0.0,0.0,0.0,3.038254930444313,0.0,0,6.804425104640903,5.375,0.0,4,10.0,3.0,20.0,480,4,94
Beban Sangat Rendah,base,80094,45,45,45,0,0.0,0.0,0.0,2.9367174459237098,0.0,0,6.882931513883696,5.625,0.0,4,10.0,3.0,20.0,480,4,95
Beban Sangat Rendah,base,80095,59,59,58,0,0.0,0.0,0.0,2.7950459103233447,0.0,0,8.54055699787493,7.25,0.0,4,10.0,3.0,20.0,480,4,96
Beban Sangat Rendah,base,80096,50,50,49,0,0.0,0.0,0.0,3.071493010454709,0.0,0,7.967613992842872,6.125,0.0,4,10.0,3.0,20.0,480,4,97
Beban Sangat Rendah,base,80097,42,42,41,0,0.0,0.0,0.0,2.9281559134103627,0.0,0,6.404281606847717,5.125,0.0,4,10.0,3.0,20.0,480,4,98
Beban Sangat Rendah,base,80098,50,50,50,0,0.0,0.0,0.0,3.0420734317892264,0.0,0,7.922066228617776,6.25,0.0,4,10.0,3.0,20.0,480,4,99
Beban Sangat Rendah,base,80099,44,44,44,0,0.0,0.0,0.0,3.018285151643286,0.0,0,6.916903472515864,5.5,0.0,4,10.0,3.0,20.0,480,4,100
Beban Sangat Rendah,base,80100,47,47,46,0,0.0,0.0,0.0,3.0088755488030166,0.0,0,7.285937955117215,5.75,0.0,4,10.0,3.0,20.0,480,4,101
Beban Sangat Rendah,base,80101,48,48,47,0,0.0,0.0,0.0,3.0146510279371994,0.0,0,7.439188699717733,5.875,0.0,4,10.0,3.0,20.0,480,4,102
Beban Sangat Rendah,base,80102,55,55,54,0,0.0,0.0,0.0,3.1246360956321926,0.0,0,8.874416565071872,6.75,0.0,4,10.0,3.0,20.0,480,4,103
Beban Sangat Rendah,base,80103,39,39,39,0,0.0,0.0,0.0,2.8212521737403384,0.0,0,5.730668477910066,4.875,0.0,4,10.0,3.0,20.0,480,4,104
Beban Sangat Rendah,base,80104,51,51,50,0,0.0,0.0,0.0,3.0132446829742783,0.0,0,7.8701890756743635,6.25,0.0,4,10.0,3.0,20.0,480,4,105
Beban Sangat Rendah,base,80105,47,47,47,0,0.0,0.0,0.0,2.936439997393045,0.0,0,7.188160410285054,5.875,0.0,4,10.0,3.0,20.0,480,4,106
Beban Sangat Rendah,base,80106,45,45,45,0,0.0,0.0,0.0,3.046488921115377,0.0,0,7.140208408864167,5.625,0.0,4,10.0,3.0,20.0,480,4,107
Beban Sangat Rendah,base,80107,55,55,55,0,0.0,0.0,0.0,3.0318042515034596,0.0,0,8.684855928785948,6.875,0.0,4,10.0,3.0,20.0,480,4,108
Beban Sangat Rendah,base,80108,32,32,32,0,0.0,0.0,0.0,3.11211874625703,0.0,0,5.1868645770950526,4.0,0.0,4,10.0,3.0,20.0,480,4,109
